id,123call,2appCat.social,123calltime,2appCat.entertainment,2sms,123appCat.travel,2appCat.travel,3appCat.entertainment,3circumplex.valence,3mood,1appCat.other,1appCat.office,2mood,3sms,2appCat.finance,2smstime,123appCat.communication,1appCat.unknown,123appCat.entertainment,weekday_0,target,123activity,2appCat.weather,1appCat.social,3calltime,3appCat.other,2circumplex.valence,1appCat.weather,123appCat.utilities,3smstime,1circumplex.valence,1appCat.utilities,1appCat.communication,1appCat.travel,123circumplex.valence,123appCat.other,123appCat.builtin,3screen,1mood,1appCat.builtin,3appCat.unknown,2appCat.game,3circumplex.arousal,weekday_4,2calltime,3appCat.social,123appCat.weather,123circumplex.arousal,2appCat.utilities,123mood,2activity,3appCat.finance,3call,2appCat.office,weekday_3,123appCat.finance,1screen,1calltime,weekday_1,1appCat.entertainment,3activity,3appCat.utilities,2appCat.builtin,1appCat.finance,1smstime,1activity,3appCat.office,2call,1call,2appCat.communication,weekday_5,2appCat.other,1sms,weekday_6,2circumplex.arousal,2appCat.unknown,2screen,123sms,1circumplex.arousal,123appCat.social,123appCat.game,3appCat.travel,1appCat.game,123appCat.office,123screen,3appCat.game,weekday_2,123appCat.unknown,3appCat.builtin,123smstime,3appCat.communication,3appCat.weather
AS14.01,10,75.14166666666667,926.0,53.024,0,68.05357142857143,70.41884615384616,58.476,,,14.020428571428571,,6.2,0,6.193,,54.29974493927126,,53.764296296296294,0,6.8,0.17161783262659774,,36.635999999999996,674.0,5.6725,0.2,,23.78867741935484,,0.5,39.207,51.6970625,37.305,0.3333333333333333,20.543470588235294,11.571983146067415,252.88266669379337,6.4,7.781159574468085,45.173,,,0,948.0,73.43009090909091,,0.4,23.029,6.3,0.13405010398938863,,1,57.402,0,6.42,47.61365115919778,964.0,0,46.662,0.08154761904761905,10.536999999999999,14.269172727272727,7.025333333333333,947.0,0.23688021923995814,,6,3,55.09552631578947,0,29.968875,1,1,0.2,,153.665871795426,1,0.6,69.34774698795181,,,,57.402,103.51769411704116,,0,45.173,5.928071428571428,947.0,58.60078378378378,
AS14.01,9,36.635999999999996,954.0,46.662,1,68.05357142857143,37.305,53.024,0.2,6.2,12.137166666666666,,6.4,0,7.025333333333333,947.0,53.510152597402595,,49.79691666666667,1,6.0,0.1669324562346523,,50.04661111111111,948.0,29.968875,0.5,30.386,24.882033333333332,,0.8,30.086,53.4420306122449,,0.5,19.557952380952383,12.278316666666667,153.665871795426,6.8,12.134396226415094,,,0.2,0,964.0,75.14166666666667,30.386,0.3333333333333333,39.207,6.466666666666667,0.23688021923995814,6.193,6,,0,7.601533333333333,67.06764357868985,,0,31.448666666666668,0.13405010398938863,23.029,7.781159574468085,10.85075,,0.14274111580506366,57.402,3,0,51.6970625,0,14.020428571428571,0,0,0.6,,47.61365115919778,1,0.2,64.98856666666667,,70.41884615384616,,57.402,89.03429395114995,,0,,14.269172727272727,947.0,55.09552631578947,
AS14.01,13,50.04661111111111,958.0,31.448666666666668,0,76.185,,46.662,0.5,6.4,11.093,3.01,6.8,1,10.85075,,50.053640102827764,,89.58776923076923,0,6.75,0.14229573803072065,30.386,74.9680465116279,964.0,14.020428571428571,0.8,,54.4065,947.0,0.0,89.366,47.54168717948718,83.961,0.42857142857142855,12.501263157894737,7.712917112299465,47.61365115919778,6.0,4.982505747126437,,,0.6,0,,36.635999999999996,30.386,0.5333333333333333,30.086,6.4,0.14274111580506366,7.025333333333333,3,,0,7.583461538461538,76.77219898238472,956.0,1,122.121375,0.23688021923995814,39.207,12.134396226415094,5.684333333333333,,0.07896105611559796,,0,10,53.4420306122449,0,12.137166666666666,0,0,0.2,,67.06764357868985,1,0.8,62.52187671232877,,37.305,,3.01,65.64165258575491,,0,,7.781159574468085,947.0,51.6970625,
AS14.01,10,74.9680465116279,956.0,122.121375,0,83.961,83.961,31.448666666666668,0.8,6.8,29.80316666666667,,6.0,0,5.684333333333333,,56.20113151927438,29.402875,87.65561538461539,0,6.6,0.10154223462257886,,68.55253571428571,,12.137166666666666,0.0,,33.20853846153846,,0.5,22.2893,69.43750675675676,,0.42857142857142855,17.677777777777777,8.318459530026109,67.06764357868985,6.75,10.026873786407767,,,0.2,0,956.0,50.04661111111111,30.386,0.5,89.366,6.5,0.07896105611559796,10.85075,0,3.01,0,8.611642857142858,169.0972834572078,,0,34.103,0.14274111580506366,30.086,4.982505747126437,10.7635,632.0,0.09837411239050677,,10,0,47.54168717948718,0,11.093,1,0,0.8,,76.77219898238472,1,0.5,67.90939325842696,,,,3.01,102.11447641759544,,1,29.402875,12.134396226415094,632.0,53.4420306122449,30.386
AS14.01,10,68.55253571428571,956.0,34.103,1,83.961,,122.121375,0.0,6.0,16.249666666666666,,6.75,0,10.7635,632.0,53.438451310861424,,115.03858823529411,0,7.0,0.09288116339206022,,124.1097027027027,956.0,11.093,0.5,,33.46076923076923,,0.6,33.365,47.061534031413615,,0.35714285714285715,19.04861111111111,7.390893975903614,76.77219898238472,6.6,8.460123188405797,,,0.8,0,,74.9680465116279,,0.35714285714285715,22.2893,6.428571428571429,0.09837411239050677,5.684333333333333,10,,1,8.093187499999999,94.38966092159006,,0,130.06842857142857,0.07896105611559796,89.366,10.026873786407767,8.721833333333333,,0.10130832167007592,3.01,0,0,69.43750675675676,0,29.80316666666667,0,0,0.5,29.402875,169.0972834572078,1,-0.2,90.14033333333333,,83.961,,3.01,106.53220724339933,,0,29.402875,4.982505747126437,632.0,47.54168717948718,
AS14.01,2,124.1097027027027,847.0,130.06842857142857,0,23.657,,34.103,0.5,6.75,9.755333333333333,15.20425,6.6,1,8.721833333333333,,52.5090501002004,,89.89022222222222,0,6.4,0.11859446455391613,,71.95238461538462,,29.80316666666667,0.6,,19.78577272727273,632.0,0.8,16.275363636363636,43.3532,23.657,0.6428571428571429,18.602722222222223,8.682511392405063,169.0972834572078,7.0,7.982642857142857,29.402875,,0.5,1,,68.55253571428571,,0.14285714285714285,33.365,6.785714285714286,0.10130832167007592,10.7635,0,,0,10.584923076923078,129.20111110651936,847.0,0,71.03766666666667,0.09837411239050677,22.2893,8.460123188405797,14.073,476.0,0.15951064096909748,,0,2,47.061534031413615,0,16.249666666666666,1,0,-0.2,,94.38966092159006,2,0.2,95.47321794871795,,,,15.20425,126.92960091468387,,0,29.402875,10.026873786407767,554.0,69.43750675675676,
AS14.01,7,71.95238461538462,817.0,71.03766666666667,1,56.20585714285714,23.657,130.06842857142857,0.6,6.6,37.6585,,7.0,0,14.073,476.0,43.39043410852713,,94.63781481481482,0,8.0,0.11767694772418356,,25.63705,,16.249666666666666,0.8,,23.36868181818182,,0.6,30.1717,24.078694444444444,59.632052631578944,0.6666666666666666,21.221166666666665,29.95052644230769,94.38966092159006,6.4,81.14995967741935,,,-0.2,0,847.0,124.1097027027027,,-0.2,16.275363636363636,6.666666666666667,0.15951064096909748,8.721833333333333,0,15.20425,0,11.48225,55.94873863187705,805.0,0,91.40027272727274,0.10130832167007592,33.365,7.982642857142857,12.738,,0.09569802163712014,,2,5,43.3532,1,9.755333333333333,0,0,0.2,,129.20111110651936,1,-0.6,86.2883,116.51799999999999,,116.51799999999999,15.20425,97.70639798322912,,0,,8.460123188405797,476.0,47.061534031413615,
AS14.01,11,25.63705,971.0,91.40027272727274,0,51.364916666666666,59.632052631578944,71.03766666666667,0.8,7.0,24.22771428571428,,6.4,1,12.738,,41.59698418972332,,93.4906,0,7.5,0.10632648661508427,,59.111,847.0,9.755333333333333,0.6,,24.030733333333334,476.0,1.0,25.026541666666667,47.73143859649123,17.478333333333335,0.8,23.898789473684207,36.688509695290854,129.20111110651936,8.0,23.52566265060241,,116.51799999999999,0.2,0,805.0,71.95238461538462,,-0.06666666666666667,30.1717,7.133333333333334,0.09569802163712014,14.073,2,,0,13.1385,130.04096874594688,1241.0,0,108.49526666666667,0.15951064096909748,16.275363636363636,81.14995967741935,,1241.0,0.06820281010186964,15.20425,5,4,24.078694444444444,0,37.6585,1,1,-0.6,,55.94873863187705,2,0.2,46.85390243902439,116.51799999999999,23.657,,15.20425,106.9277386715188,,0,,7.982642857142857,858.0,43.3532,
AS14.01,9,59.111,999.0,108.49526666666667,1,53.88381818181818,17.478333333333335,91.40027272727274,0.6,6.4,12.333833333333333,,8.0,0,,1241.0,42.85991228070176,33.2385,119.10025714285715,1,7.4,0.07453099272640876,,55.894999999999996,805.0,37.6585,1.0,,26.875714285714288,,0.75,38.296,61.83357142857143,,0.7857142857142857,24.713052631578947,47.80611538461538,55.94873863187705,7.5,7.818207547169812,,,-0.6,0,1241.0,25.63705,,-0.2857142857142857,25.026541666666667,7.285714285714286,0.06820281010186964,12.738,5,,0,12.738,167.52644447927136,,0,170.63077777777778,0.09569802163712014,30.1717,23.52566265060241,,,0.049092970521542004,,4,0,47.73143859649123,0,24.22771428571428,0,0,0.2,,130.04096874594688,1,-0.5,37.20367741935484,116.51799999999999,59.632052631578944,,,99.26997206863747,116.51799999999999,0,33.2385,81.14995967741935,1241.0,24.078694444444444,
AS14.01,10,55.894999999999996,930.0,170.63077777777778,0,29.477,,108.49526666666667,1.0,8.0,24.414,,7.5,1,,,45.177942028985505,29.29,84.86251724137931,0,6.0,0.06477904146690014,,56.27729166666667,1241.0,24.22771428571428,0.75,,20.219952380952382,1241.0,0.6,12.370882352941177,41.33827131782946,36.6762,0.7857142857142857,21.339624999999998,17.188387096774193,130.04096874594688,7.4,17.019568965517244,,,0.2,0,,59.111,,-0.07142857142857142,38.296,7.642857142857143,0.049092970521542004,,4,,0,6.8758333333333335,95.45833871249226,722.0,1,51.73294117647059,0.06820281010186964,25.026541666666667,7.818207547169812,6.8758333333333335,,0.07050548088338955,,0,6,61.83357142857143,0,12.333833333333333,0,0,-0.5,33.2385,167.52644447927136,1,0.0,56.89222857142857,51.176,17.478333333333335,51.176,,114.80311628386032,,0,31.922333333333334,23.52566265060241,1241.0,47.73143859649123,
