id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
AS14.01,6.5,-0.2857142857142857,0.5,0.10336647095107983,75.28299999933739,6,1,51.7080692124105,44.126666666666665,95.20052631578947,,57.203,,17.95495238095238,65.97297619047619,26.62969230769231,,10.885074074074074,,6.5,956.0,952.0,1,0,0,0,0,0,0
AS14.01,6.615384615384615,-0.5833333333333334,0.46153846153846156,0.07802690760674386,74.83381883908008,5,0,57.64030446927374,50.58701606425703,78.96711111111111,9.2256,57.203,17.107,17.647666666666666,58.3807027027027,35.456,,20.612000000000002,,6.6,956.0,943.0,0,1,0,0,0,0,0
AS14.01,6.538461538461538,-0.5833333333333334,0.36363636363636365,0.06346849295937818,76.27020000345566,6,0,15.09177251184834,51.50079336734694,141.40737931034482,8.157375,57.203,17.107,23.76104761904762,60.162148648648646,60.247,,26.20027272727273,,7.4,956.0,937.0,0,0,1,0,0,0,0
AS14.01,6.857142857142857,-0.6153846153846154,0.5454545454545454,0.08212726465599839,71.97346168723062,6,0,7.535257080610021,47.540586776859506,124.47102564102565,8.157375,,17.107,31.587652173913042,52.307436090225565,60.247,,74.483,,7.4,956.0,942.0,0,0,0,1,0,0,0
AS14.01,7.133333333333334,-0.5333333333333333,0.75,0.09155809266285611,75.15944554876575,12,0,7.4635885057471265,47.75823255813953,139.2476,6.377,1.0590000000000002,23.195,28.873347826086956,47.886244604316545,,,45.05404545454546,,7.0,956.0,947.0,0,0,0,0,1,0,0
AS14.01,7.266666666666667,-0.8,0.8571428571428571,0.09311114060009344,80.24335096260678,11,0,13.691394736842105,40.209717877094974,119.395025,15.682166666666667,1.0590000000000002,23.195,23.001136363636363,42.97078504672897,34.234,,40.334275862068964,,7.25,956.0,951.0,0,0,0,0,0,1,0
AS14.01,7.214285714285714,-0.7857142857142857,0.7857142857142857,0.07706612291275658,120.51051145200512,7,0,14.5741926910299,61.21109917355372,150.537825,15.682166666666667,1.0590000000000002,23.195,11.352571428571428,41.55012244897959,19.6325,,19.280142857142856,,8.0,956.0,951.0,0,0,0,0,0,0,1
AS14.01,7.384615384615385,-1.0769230769230769,0.8461538461538461,0.05541886416591647,118.45563902622315,0,0,15.542988679245282,58.04457894736842,137.875375,11.767066666666667,,,9.36225,42.654333333333334,19.6325,,16.677647058823528,,7.2,956.0,951.0,1,0,0,0,0,0,0
AS14.01,7.461538461538462,-1.0769230769230769,0.7692307692307693,0.056719234964857694,149.7264528274536,1,1,5.685853820598006,72.70852307692307,193.3651111111111,11.449066666666667,,,10.611266666666667,123.8815,11.378333333333334,,24.785296296296295,,6.4,962.0,952.0,0,1,0,0,0,0,0
AS14.01,7.142857142857143,-0.7857142857142857,0.7857142857142857,0.0626735987349934,112.29572574191272,9,2,6.209404958677686,45.71956953642384,143.45134615384615,10.2655,,,12.059310344827587,115.385890625,12.489,,29.437372093023257,,7.2,973.0,950.0,0,0,1,0,0,0,0
AS14.01,6.933333333333334,-0.21428571428571427,0.6666666666666666,0.09670326779257722,102.78122609923216,9,3,6.1949288256227755,42.686231503579954,115.70927272727273,11.374,,,12.345625,101.79172527472528,12.489,,28.10177358490566,,6.6,978.0,948.0,0,0,0,1,0,0,0
AS14.01,6.733333333333333,0.07142857142857142,0.6666666666666666,0.0877134485266481,103.07312781470166,10,2,6.156653306613227,57.842253731343284,36.035642857142854,4.347666666666667,,,12.056588235294118,82.02143689320388,8.363,,20.48511111111111,,6.8,977.0,947.0,0,0,0,0,1,0,0
