,id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
45,AS14.01,6.466666666666668,-0.4666666666666667,0.3333333333333333,0.09831002870640414,76.53954020775471,6,1,36.13100929368029,45.05189876033058,67.79597674418605,25.41133333333333,72.83847368421051,29.307284090909082,15.727866666666667,51.8856111111111,26.09057142857143,26.497983974358974,12.297714285714285,30.386,6.5,949.0,960.0,0,0,0,0,0,0,1
46,AS14.01,6.5,-0.2857142857142857,0.5,0.10336647095107984,75.28299999933739,6,1,51.7080692124105,44.12666666666666,95.20052631578949,15.944659752110699,57.203,29.307284090909082,17.95495238095238,65.97297619047619,26.62969230769231,26.497983974358974,10.885074074074074,30.386,6.5,956.0,952.0,1,0,0,0,0,0,0
47,AS14.01,6.615384615384616,-0.5833333333333334,0.4615384615384616,0.07802690760674386,74.83381883908008,5,0,57.64030446927374,50.58701606425703,78.96711111111111,9.2256,57.203,17.107,17.647666666666666,58.380702702702706,35.455999999999996,26.497983974358974,20.612,30.386,6.6,956.0,943.0,0,1,0,0,0,0,0
48,AS14.01,6.538461538461537,-0.5833333333333334,0.3636363636363637,0.06346849295937818,76.27020000345566,6,0,15.09177251184834,51.50079336734694,141.40737931034482,8.157375,57.203,17.107,23.761047619047623,60.16214864864865,60.247,26.497983974358974,26.20027272727273,30.386,7.4,956.0,937.0,0,0,1,0,0,0,0
49,AS14.01,6.857142857142858,-0.6153846153846154,0.5454545454545454,0.08212726465599839,71.97346168723062,6,0,7.535257080610021,47.54058677685951,124.47102564102563,8.157375,72.83847368421051,17.107,31.58765217391304,52.30743609022557,60.247,26.497983974358974,74.483,30.386,7.4,956.0,942.0,0,0,0,1,0,0,0
50,AS14.01,7.133333333333334,-0.5333333333333333,0.75,0.09155809266285612,75.15944554876576,12,0,7.4635885057471265,47.75823255813953,139.2476,6.377000000000001,1.0590000000000002,23.195,28.87334782608696,47.88624460431655,42.27591076553725,26.497983974358974,45.05404545454546,30.386,7.0,956.0,947.0,0,0,0,0,1,0,0
51,AS14.01,7.2666666666666675,-0.8,0.8571428571428571,0.09311114060009344,80.24335096260678,11,0,13.691394736842105,40.209717877094974,119.395025,15.682166666666667,1.0590000000000002,23.195,23.001136363636366,42.97078504672897,34.234,26.497983974358974,40.334275862068964,30.386,7.25,956.0,951.0,0,0,0,0,0,1,0
52,AS14.01,7.2142857142857135,-0.7857142857142857,0.7857142857142857,0.07706612291275658,120.51051145200512,7,0,14.574192691029902,61.21109917355371,150.537825,15.682166666666667,1.0590000000000002,23.195,11.352571428571427,41.55012244897959,19.6325,26.497983974358974,19.280142857142856,30.386,8.0,956.0,951.0,0,0,0,0,0,0,1
53,AS14.01,7.384615384615384,-1.0769230769230769,0.8461538461538461,0.055418864165916466,118.45563902622317,0,0,15.542988679245283,58.04457894736842,137.875375,11.767066666666668,72.83847368421051,29.307284090909082,9.36225,42.654333333333334,19.6325,26.497983974358974,16.677647058823528,30.386,7.2,956.0,951.0,1,0,0,0,0,0,0
54,AS14.01,7.461538461538463,-1.0769230769230769,0.7692307692307693,0.0567192349648577,149.72645282745358,1,1,5.685853820598006,72.70852307692307,193.3651111111111,11.449066666666667,72.83847368421051,29.307284090909082,10.611266666666667,123.8815,11.378333333333336,26.497983974358974,24.78529629629629,30.386,6.4,962.0,952.0,0,1,0,0,0,0,0
55,AS14.01,7.142857142857142,-0.7857142857142857,0.7857142857142857,0.0626735987349934,112.29572574191273,9,2,6.209404958677687,45.71956953642385,143.45134615384615,10.2655,72.83847368421051,29.307284090909082,12.059310344827587,115.385890625,12.489,26.497983974358974,29.437372093023253,30.386,7.2,973.0,950.0,0,0,1,0,0,0,0
56,AS14.01,6.933333333333334,-0.21428571428571427,0.6666666666666666,0.09670326779257722,102.78122609923216,9,3,6.194928825622776,42.686231503579954,115.70927272727272,11.374,72.83847368421051,29.307284090909082,12.345625,101.79172527472528,12.489,26.497983974358974,28.10177358490566,30.386,6.6,978.0,948.0,0,0,0,1,0,0,0
